week,song_count,artist_name
2020-01-02,2,Taylor Swift
2020-01-09,1,Taylor Swift
2020-01-23,0,Taylor Swift
2020-02-06,3,Taylor Swift
2020-02-13,2,Taylor Swift
2020-02-20,2,Taylor Swift
2020-02-27,1,Taylor Swift
2020-03-05,1,Taylor Swift
2020-03-19,0,Taylor Swift
2020-03-26,0,Taylor Swift
2020-04-09,0,Taylor Swift
2020-04-16,0,Taylor Swift
2020-04-23,0,Taylor Swift
2020-05-07,0,Taylor Swift
2020-05-14,0,Taylor Swift
2020-05-21,0,Taylor Swift
2020-05-28,0,Taylor Swift
2020-06-04,0,Taylor Swift
2020-06-11,0,Taylor Swift
2020-06-18,0,Taylor Swift
2020-06-25,0,Taylor Swift
2020-07-02,0,Taylor Swift
2020-07-09,0,Taylor Swift
2020-07-16,0,Taylor Swift
2020-07-23,0,Taylor Swift
2020-07-30,16,Taylor Swift
2020-08-13,12,Taylor Swift
2020-08-20,7,Taylor Swift
2020-08-27,5,Taylor Swift
2020-09-10,3,Taylor Swift
2020-09-17,2,Taylor Swift
2020-10-01,1,Taylor Swift
2020-10-08,1,Taylor Swift
2020-10-15,0,Taylor Swift
2020-10-22,0,Taylor Swift
2020-10-29,0,Taylor Swift
2020-11-05,0,Taylor Swift
2020-11-12,0,Taylor Swift
2020-11-19,0,Taylor Swift
2020-11-26,0,Taylor Swift
2020-12-03,0,Taylor Swift
2020-12-10,0,Taylor Swift
2020-12-17,16,Taylor Swift
2020-12-24,7,Taylor Swift
2020-12-31,3,Taylor Swift
2021-01-07,3,Taylor Swift
2021-01-14,2,Taylor Swift
2021-01-28,2,Taylor Swift
2021-02-04,1,Taylor Swift
2021-02-11,1,Taylor Swift
2021-02-18,2,Taylor Swift
2021-03-04,2,Taylor Swift
2021-03-11,1,Taylor Swift
2021-03-18,1,Taylor Swift
2021-03-25,1,Taylor Swift
2021-04-01,2,Taylor Swift
2021-04-22,3,Taylor Swift
2021-05-20,0,Taylor Swift
2021-05-27,0,Taylor Swift
2021-06-03,0,Taylor Swift
2021-06-10,0,Taylor Swift
2021-06-17,0,Taylor Swift
2021-06-24,0,Taylor Swift
2021-07-01,0,Taylor Swift
2021-07-08,1,Taylor Swift
2021-07-15,0,Taylor Swift
2021-07-22,0,Taylor Swift
2021-07-29,0,Taylor Swift
2021-08-05,0,Taylor Swift
2021-08-12,0,Taylor Swift
2021-08-19,0,Taylor Swift
2021-08-26,0,Taylor Swift
2021-09-02,0,Taylor Swift
2021-09-16,0,Taylor Swift
2021-09-30,3,Taylor Swift
2021-10-07,2,Taylor Swift
2021-10-14,2,Taylor Swift
2021-10-21,1,Taylor Swift
2021-10-28,2,Taylor Swift
2021-11-04,1,Taylor Swift
2021-11-18,34,Taylor Swift
2021-11-25,13,Taylor Swift
2021-12-09,2,Taylor Swift
2021-12-23,2,Taylor Swift
2022-01-06,3,Taylor Swift
2022-01-13,3,Taylor Swift
2022-01-20,3,Taylor Swift
2022-01-27,3,Taylor Swift
2022-02-03,2,Taylor Swift
2022-02-10,2,Taylor Swift
2022-02-17,3,Taylor Swift
2022-02-24,3,Taylor Swift
2022-03-03,3,Taylor Swift
2022-03-10,3,Taylor Swift
2022-03-17,2,Taylor Swift
2022-03-24,2,Taylor Swift
2022-03-31,2,Taylor Swift
2022-04-14,2,Taylor Swift
2022-04-21,1,Taylor Swift
2022-05-05,1,Taylor Swift
2022-05-12,3,Taylor Swift
2022-05-19,2,Taylor Swift
2022-05-26,2,Taylor Swift
2022-06-23,2,Taylor Swift
2022-06-30,3,Taylor Swift
2022-07-14,2,Taylor Swift
2022-07-21,2,Taylor Swift
2022-07-28,2,Taylor Swift
2022-08-04,3,Taylor Swift
2022-08-11,3,Taylor Swift
2022-08-25,3,Taylor Swift
2022-09-08,3,Taylor Swift
2022-10-06,3,Taylor Swift
2022-10-13,3,Taylor Swift
2022-10-20,3,Taylor Swift
2022-10-27,24,Taylor Swift
2022-11-10,19,Taylor Swift
2022-11-24,15,Taylor Swift
2022-12-01,12,Taylor Swift
2022-12-08,8,Taylor Swift
2022-12-22,4,Taylor Swift
2022-12-29,3,Taylor Swift
2023-01-05,5,Taylor Swift
2023-01-12,6,Taylor Swift
2023-01-19,4,Taylor Swift
2023-01-26,5,Taylor Swift
2023-02-02,5,Taylor Swift
2023-02-16,3,Taylor Swift
2023-02-23,3,Taylor Swift
2023-03-09,3,Taylor Swift
2023-03-30,10,Taylor Swift
2023-04-06,9,Taylor Swift
2023-04-20,10,Taylor Swift
2023-04-27,11,Taylor Swift
2023-05-04,10,Taylor Swift
2023-05-11,11,Taylor Swift
2023-05-18,10,Taylor Swift
2023-05-25,11,Taylor Swift
2023-06-01,16,Taylor Swift
2023-06-15,11,Taylor Swift
2023-06-22,11,Taylor Swift
2023-06-29,12,Taylor Swift
2023-07-13,35,Taylor Swift
2023-07-20,17,Taylor Swift
2023-07-27,14,Taylor Swift
2023-08-03,12,Taylor Swift
2023-08-10,14,Taylor Swift
2023-08-17,14,Taylor Swift
2023-09-07,11,Taylor Swift
2023-09-14,9,Taylor Swift
2023-10-05,10,Taylor Swift
2023-10-26,12,Taylor Swift
2023-11-02,31,Taylor Swift
2023-11-09,24,Taylor Swift
2023-11-16,18,Taylor Swift
2023-11-23,18,Taylor Swift
2023-11-30,13,Taylor Swift
2023-12-07,12,Taylor Swift
2023-12-14,11,Taylor Swift
2023-12-21,10,Taylor Swift
2023-12-28,8,Taylor Swift
2024-01-04,10,Taylor Swift
2024-01-11,10,Taylor Swift
2024-01-18,8,Taylor Swift
2024-01-25,8,Taylor Swift
2024-02-01,7,Taylor Swift
2024-02-08,9,Taylor Swift
2024-02-15,8,Taylor Swift
2024-02-22,8,Taylor Swift
2024-02-29,8,Taylor Swift
2024-03-07,7,Taylor Swift
2024-03-14,7,Taylor Swift
2024-03-21,7,Taylor Swift
2024-03-28,7,Taylor Swift
2024-04-04,6,Taylor Swift
2024-04-11,5,Taylor Swift
2024-04-18,6,Taylor Swift
2024-04-25,35,Taylor Swift
2024-05-02,30,Taylor Swift
2024-05-09,21,Taylor Swift
2024-05-16,19,Taylor Swift
2024-05-23,14,Taylor Swift
2024-05-30,12,Taylor Swift
2024-06-06,9,Taylor Swift
2024-06-13,7,Taylor Swift
2024-06-20,6,Taylor Swift
2024-06-27,7,Taylor Swift
2024-07-04,6,Taylor Swift
2024-07-11,6,Taylor Swift
2024-07-18,5,Taylor Swift
2024-07-25,4,Taylor Swift
2024-08-01,5,Taylor Swift
2024-08-08,5,Taylor Swift
2024-08-15,5,Taylor Swift
2024-08-22,5,Taylor Swift
2024-08-29,5,Taylor Swift
2024-09-05,4,Taylor Swift
2024-09-12,4,Taylor Swift
